SUID,name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
7228,TP53,0.06611272,0.46456693,0.04141865,4,75,50,FALSE,,14.40625,25,11,FALSE,0,TP53,39572
6788,AR,0.03605041,0.40410959,0.03164983,4,60,46,FALSE,,13.38181818,14,5,FALSE,0,AR,20498
7029,MYC,0.03342125,0.35014837,0.03280053,5,81,74,FALSE,,12.93589744,7,3,FALSE,0,MYC,19140
6795,ESR1,0.02884691,0.4469697,0.06025641,4,45,28,FALSE,,17.9,17,5,FALSE,0,ESR1,16236
7044,NFKB1,0.02683559,0.46640316,0.05392157,4,58,35,FALSE,,16.26923077,23,6,FALSE,0,NFKB1,17459
7116,RELA,0.02573368,0.5,0.07265306,4,55,24,FALSE,,18.16,31,5,FALSE,0,RELA,17889
6783,FOS,0.02399191,0.39072848,0.05618777,4,39,31,FALSE,,16.52631579,8,1,FALSE,0,FOS,12506
6822,BRCA1,0.02301574,0.41114983,0.04782609,4,48,36,FALSE,,14.84782609,12,2,FALSE,0,BRCA1,13268
7155,SP1,0.02140052,0.51754386,0.06781915,4,50,12,FALSE,,18.70833333,38,2,FALSE,0,SP1,12321
6979,JUN,0.02082422,0.41114983,0.03963415,4,42,28,FALSE,,14.90243902,14,1,FALSE,0,JUN,11479
6853,E2F1,0.01987149,0.4083045,0.05919662,4,47,32,FALSE,,17.18181818,15,3,FALSE,0,E2F1,11505
6952,HIF1A,0.01602466,0.36419753,0.04367816,5,32,21,FALSE,,14.66666667,11,2,FALSE,0,HIF1A,8896
7191,STAT3,0.01571246,0.42909091,0.0862069,4,33,14,FALSE,,22.72413793,19,4,FALSE,0,STAT3,9416
6875,EP300,0.01124294,0.40136054,0.11111111,5,21,8,FALSE,,26,13,2,FALSE,0,EP300,7816
7109,RB1,0.01013799,0.39464883,0.12867647,4,18,9,FALSE,,24.76470588,9,1,FALSE,0,RB1,5847
6810,EGR1,0.00946468,0.4,0.09473684,5,22,13,FALSE,,24.65,9,2,FALSE,0,EGR1,6187
7188,STAT1,0.00931716,0.36645963,0.07105263,5,23,14,FALSE,,15.5,9,3,FALSE,0,STAT1,4664
7264,YY1,0.00898416,0.41549296,0.11255411,4,22,9,FALSE,,24.09090909,13,0,FALSE,0,YY1,5442
7253,WT1,0.00814082,0.35542169,0.07789855,5,27,16,FALSE,,22.29166667,11,3,FALSE,0,WT1,5230
7024,MYB,0.00791081,0.33427762,0.05263158,5,21,13,FALSE,,19.25,8,1,FALSE,0,MYB,4432
7139,SIRT1,0.00727145,0.37699681,0.07894737,5,21,10,FALSE,,22.8,11,1,FALSE,0,SIRT1,3952
6933,GATA4,0.00725187,0.28502415,0,5,8,6,FALSE,,15,2,0,FALSE,0,GATA4,2764
7016,MITF,0.00682811,0.30890052,0.0125,5,16,14,FALSE,,8.5625,2,0,FALSE,0,MITF,2895
6941,HDAC1,0.0067412,0.45736434,0.16233766,5,24,9,FALSE,,27.59090909,15,2,FALSE,0,HDAC1,4556
7237,TWIST1,0.00639566,0.34502924,0.04093567,5,20,12,FALSE,,17.21052632,8,1,FALSE,0,TWIST1,3925
6850,DNMT1,0.00631853,0.36645963,0.13809524,5,17,11,FALSE,,22.66666667,6,2,FALSE,0,DNMT1,3886
6950,HDAC9,0.00628606,0.39072848,0.16666667,4,7,2,FALSE,,31.28571429,5,0,FALSE,0,HDAC9,2695
7251,VDR,0.00605417,0.27126437,0.03684211,6,20,17,FALSE,,13.85,3,0,FALSE,0,VDR,2866
7102,PPARG,0.00595887,0.34402332,0.05627706,5,22,14,FALSE,,18.40909091,8,0,FALSE,0,PPARG,3194
